date,precio_btc,usd_invertido,equity_usd
2022-01-16,43113.87890625,28000.0,25987.68791707968
2022-01-17,42250.55078125,28000.0,25467.300922178943
2022-01-18,42375.6328125,28000.0,25542.696429950996
2022-01-19,41744.328125,28000.0,25162.16585335838
2022-01-20,40680.41796875,28000.0,24520.87432928657
2022-01-21,36457.31640625,28000.0,21975.321754742603
2022-01-22,35030.25,28000.0,21115.131084280863
2022-01-23,36276.8046875,28000.0,21866.514977638384
2022-01-24,36654.328125,28000.0,22094.074212020118
2022-01-25,36954.00390625,28000.0,22274.709331777416
2022-01-26,36852.12109375,28000.0,22213.29758218463
2022-01-27,37138.234375,28000.0,22385.757654223722
2022-01-28,37784.33203125,28000.0,22775.204966331556
2022-01-29,38138.1796875,28000.0,22988.49318567296
2022-01-30,37917.6015625,28000.0,22855.535641159295
2022-01-31,38483.125,28000.0,23196.41535266708
2022-02-01,38743.2734375,30000.0,25364.80230217063
2022-02-02,36952.984375,30000.0,24192.71940609562
2022-02-03,37154.6015625,30000.0,24324.715999256674
2022-02-04,41500.875,30000.0,27170.174235283226
2022-02-05,41441.1640625,30000.0,27131.082129981176
2022-02-06,42412.43359375,30000.0,27766.96179260237
2022-02-07,43840.28515625,30000.0,28701.760775400842
2022-02-08,44118.4453125,30000.0,28883.869222767942
2022-02-09,44338.796875,30000.0,29028.131008721655
2022-02-10,43565.11328125,30000.0,28521.608723464597
2022-02-11,42407.9375,30000.0,27764.01824862732
2022-02-12,42244.46875,30000.0,27656.99702511037
2022-02-13,42197.515625,30000.0,27626.25732173927
2022-02-14,42586.91796875,30000.0,27881.194826727184
2022-02-15,44575.203125,32000.0,31274.207896715616
2022-02-16,43961.859375,32000.0,30843.882545289613
2022-02-17,40538.01171875,32000.0,28441.692181558206
2022-02-18,40030.9765625,32000.0,28085.95352473058
2022-02-19,40122.15625,32000.0,28149.925695420097
2022-02-20,38431.37890625,32000.0,26963.667003402214
2022-02-21,37075.28125,32000.0,26012.221422528906
2022-02-22,38286.02734375,32000.0,26861.68754699929
2022-02-23,37296.5703125,32000.0,26167.479046963887
2022-02-24,38332.609375,32000.0,26894.36975655599
2022-02-25,39214.21875,32000.0,27512.911747270555
2022-02-26,39105.1484375,32000.0,27436.387415594058
2022-02-27,37709.78515625,32000.0,26457.39285606549
2022-02-28,43193.234375,32000.0,30304.61101404826
2022-03-01,44354.63671875,34000.0,33171.12026170067
2022-03-02,43924.1171875,34000.0,32849.15132671292
2022-03-03,42451.7890625,34000.0,31748.053968870874
2022-03-04,39137.60546875,34000.0,29269.5040203113
2022-03-05,39400.5859375,34000.0,29466.1769591677
