planned_date,execution_date,monto_usd,comision_usd,precio_btc,btc_comprado,usd_acumulado,btc_acumulado,equity_usd,drawdown_pct
2023-02-01,2023-02-01,2000.0,2.0,23137.8359375,0.08635206876723495,78000.0,2.6839560388865316,62100.93449121894,-20.383417318950077
2023-02-15,2023-02-15,2000.0,2.0,22220.5859375,0.08991662081368101,80000.0,2.7738726597002126,61637.07581455027,-22.95365523181216
2023-03-01,2023-03-01,2000.0,2.0,23150.9296875,0.08630322958817462,82000.0,2.8601758892883873,66215.73090679824,-19.249108650246047
2023-03-15,2023-03-15,2000.0,2.0,24770.92578125,0.08065907659827384,84000.0,2.940834965886661,72847.20467488335,-13.277137291805532
2023-04-01,2023-04-01,2000.0,2.0,28473.33203125,0.07017092336812421,86000.0,3.0110058892547853,85733.37043280067,-0.3100343804643354
2023-04-15,2023-04-15,2000.0,2.0,30490.75,0.06552806998843912,88000.0,3.0765339592432244,93805.82781779535,6.597531611131076
2023-05-01,2023-05-01,2000.0,2.0,29227.103515625,0.06836120448719307,90000.0,3.1448951637304177,91916.17649613736,2.1290849957081726
2023-05-15,2023-05-15,2000.0,2.0,26931.384765625,0.07418853569498703,92000.0,3.2190836994254046,86694.38170197711,-5.766976410894447
2023-06-01,2023-06-01,2000.0,2.0,27218.412109375,0.07340619254243039,94000.0,3.292489891967835,89616.34674553211,-4.663460909008396
2023-06-15,2023-06-15,2000.0,2.0,25121.673828125,0.07953291702096445,96000.0,3.3720228089887994,84710.85714841446,-11.759523803734934
2023-07-01,2023-07-01,2000.0,2.0,30471.84765625,0.06556871846234094,98000.0,3.4375915274511404,104749.76532890688,6.887515641741718
2023-07-15,2023-07-15,2000.0,2.0,30331.783203125,0.06587149811205796,100000.0,3.503463025563198,106266.2809515473,6.266280951547305
2023-08-01,2023-08-01,2000.0,2.0,29230.873046875,0.06835238881835591,102000.0,3.571815414381554,104407.28292465843,2.360081298684735
2023-08-15,2023-08-15,2000.0,2.0,29408.048828125,0.06794058360271665,104000.0,3.6397559979842704,107038.12211118227,2.92127126075218
2023-09-01,2023-09-01,2000.0,2.0,25934.021484375,0.07704165746927355,106000.0,3.716797655453544,96391.51024960684,-9.064612972069016
2023-09-15,2023-09-15,2000.0,2.0,26533.818359375,0.07530013106063423,108000.0,3.7920977865141783,100618.8338683552,-6.834413084856298
2023-10-01,2023-10-01,2000.0,2.0,26967.396484375,0.07408946581690405,110000.0,3.8661872523310823,104261.00451644867,-5.217268621410304
2023-10-15,2023-10-15,2000.0,2.0,26858.01171875,0.07439121037411585,112000.0,3.940578462705198,105836.10252999006,-5.503479883937442
2023-11-01,2023-11-01,2000.0,2.0,34657.2734375,0.05765023620808313,114000.0,3.998228698913281,138567.70528389743,21.55061867008547
2023-11-15,2023-11-15,2000.0,2.0,35548.11328125,0.056205514599106825,116000.0,4.054434213512388,144127.4867133141,24.247833373546644
2023-12-01,2023-12-01,2000.0,2.0,37718.0078125,0.052972044810326635,118000.0,4.107406258322714,154923.18134052755,31.29083164451487
2023-12-15,2023-12-15,2000.0,2.0,43028.25,0.04643460982029248,120000.0,4.153840868143007,178732.50333467434,48.94375277889529
2024-01-01,2024-01-01,2000.0,2.0,42280.234375,0.04725612403845621,122000.0,4.201096992181463,177623.3654615398,45.59292250945885
2024-01-15,2024-01-15,2000.0,2.0,41715.06640625,0.04789636388306571,124000.0,4.2489933560645285,177247.04000794687,42.941161296731345
2024-02-01,2024-02-01,2000.0,2.0,42569.76171875,0.04693472360029617,126000.0,4.295928079664825,182876.63471221886,45.14018627953878
2024-02-15,2024-02-15,2000.0,2.0,51836.78515625,0.03854405696606167,128000.0,4.334472136630887,224685.1009122872,75.53523508772437
2024-03-01,2024-03-01,2000.0,2.0,61168.0625,0.03266410473602953,130000.0,4.367136241366916,267129.2625579466,105.48404812149738
2024-03-15,2024-03-15,2000.0,2.0,71387.875,0.027987946132308882,132000.0,4.395124187499225,313758.57610667124,137.69589098990244
2024-04-01,2024-04-01,2000.0,2.0,71333.484375,0.028009286487346078,134000.0,4.423133473986571,315517.5225551605,135.46083772773173
2024-04-15,2024-04-15,2000.0,2.0,65739.6484375,0.030392617659030206,136000.0,4.453526091645601,292773.23957201524,115.27444086177591
2024-05-01,2024-05-01,2000.0,2.0,60609.49609375,0.03296513135350142,138000.0,4.486491222999103,271923.9722550078,97.04635670652738
2024-05-15,2024-05-15,2000.0,2.0,61553.98828125,0.03245931020538944,140000.0,4.518950533204492,278159.42816441774,98.68530583172695
2024-06-01,2024-06-01,2000.0,2.0,67489.609375,0.029604557182992288,142000.0,4.5485550903874845,306980.2062709191,116.18324385275996
2024-06-15,2024-06-15,2000.0,2.0,66006.7421875,0.030269635097645683,144000.0,4.57882472548513,302233.3031768474,109.88423831725514
2024-07-01,2024-07-01,2000.0,2.0,62673.60546875,0.031879448853412984,146000.0,4.610704174338543,288969.4543556126,97.92428380521409
2024-07-15,2024-07-15,2000.0,2.0,60815.45703125,0.03285348984507883,148000.0,4.643557664183621,282400.08159829065,90.81086594479098
2024-08-01,2024-08-01,2000.0,2.0,64625.83984375,0.03091642607400835,150000.0,4.67447409025763,302091.8139107486,101.39454260716572
2024-08-15,2024-08-15,2000.0,2.0,58733.26171875,0.034018202659467804,152000.0,4.708492292917097,276545.1101406172,81.93757246093234
2024-09-01,2024-09-01,2000.0,2.0,58969.80078125,0.03388174919246603,154000.0,4.742374042109564,279656.8524933723,81.59535876193004
2024-09-15,2024-09-15,2000.0,2.0,60000.7265625,0.03329959676269545,156000.0,4.775673638872259,286543.8881577138,83.68197958827808
2024-10-01,2024-10-01,2000.0,2.0,63335.60546875,0.03154623667386933,158000.0,4.807219875546129,304468.1814391231,92.70138065767286
2024-10-15,2024-10-15,2000.0,2.0,66050.3671875,0.030249642584547518,160000.0,4.837469518130677,319516.6379308699,99.69789870679368
2024-11-01,2024-11-01,2000.0,2.0,70216.8984375,0.02845468889199682,162000.0,4.865924207022673,341670.1058490838,110.90747274634802
2024-11-15,2024-11-15,2000.0,2.0,87284.1796875,0.022890746148424127,164000.0,4.888814953171098,426716.20283152297,160.19280660458716
2024-12-01,2024-12-01,2000.0,2.0,96461.3359375,0.020712962147803552,166000.0,4.909527915318901,473579.62153411057,185.28892863500636
2024-12-15,2024-12-15,2000.0,2.0,101373.53125,0.01970928678683076,168000.0,4.929237202105732,499694.18154632795,197.4370128251952
2025-01-01,2025-01-01,2000.0,2.0,93425.1015625,0.021386115364973597,170000.0,4.950623317470705,462512.4862323813,172.066168371989
